seed,sparsity,method,mean_irr,b_rho
0,0.0,uniform,0.17062705315629992,0.8323034171155255
0,0.0,fisher,0.1638293664691848,0.8323034171155255
0,0.0,adirt,0.1701320975118845,0.8323034171155255
0,0.2,uniform,0.1726884580138307,0.7949794070631808
0,0.2,fisher,0.1750173394497496,0.7949794070631808
0,0.2,adirt,0.1728044743211462,0.7949794070631808
0,0.4,uniform,0.17171639610279116,0.7374179124908229
0,0.4,fisher,0.1723893548158549,0.7374179124908229
0,0.4,adirt,0.17256012733109535,0.7374179124908229
0,0.6,uniform,0.17601458985256857,0.706380077830023
0,0.6,fisher,0.17066321760863026,0.706380077830023
0,0.6,adirt,0.17470185017138987,0.706380077830023
0,0.8,uniform,0.17313799508611005,0.6134045155295574
0,0.8,fisher,0.17173527361684524,0.6134045155295574
0,0.8,adirt,0.17326285178926676,0.6134045155295574
0,0.9,uniform,0.1681867613865183,0.4899628848354158
0,0.9,fisher,0.16859485384645412,0.4899628848354158
0,0.9,adirt,0.1681867613865183,0.4899628848354158
1,0.0,uniform,0.17980355634048428,0.8365335787047685
1,0.0,fisher,0.1777480152963558,0.8365335787047685
1,0.0,adirt,0.17907088867153537,0.8365335787047685
1,0.2,uniform,0.1731059339280429,0.8051841587854114
1,0.2,fisher,0.16421527999191662,0.8051841587854114
1,0.2,adirt,0.16800081014883314,0.8051841587854114
1,0.4,uniform,0.1710034987070079,0.7562416501753234
1,0.4,fisher,0.1729964498541067,0.7562416501753234
1,0.4,adirt,0.17113836358832912,0.7562416501753234
1,0.6,uniform,0.1787692463559995,0.6942295206715701
1,0.6,fisher,0.17693882835137895,0.6942295206715701
1,0.6,adirt,0.17709219552282107,0.6942295206715701
1,0.8,uniform,0.1715624904844963,0.5879542764618887
1,0.8,fisher,0.17138517521937305,0.5879542764618887
1,0.8,adirt,0.17152915939327906,0.5879542764618887
1,0.9,uniform,0.16967960898719486,0.5445260694023811
1,0.9,fisher,0.17049784338466353,0.5445260694023811
1,0.9,adirt,0.17062182691584796,0.5445260694023811
2,0.0,uniform,0.15828023487591897,0.829719421525267
2,0.0,fisher,0.15532653124923168,0.829719421525267
2,0.0,adirt,0.15690636946512268,0.829719421525267
2,0.2,uniform,0.1489187877703132,0.7922640001397613
2,0.2,fisher,0.14905190435820265,0.7922640001397613
2,0.2,adirt,0.1487742535058062,0.7922640001397613
2,0.4,uniform,0.1768901247788322,0.7389332376446109
2,0.4,fisher,0.17626479190194363,0.7389332376446109
2,0.4,adirt,0.17698048173323128,0.7389332376446109
2,0.6,uniform,0.15235842958732948,0.6446799838067104
2,0.6,fisher,0.15365012618587,0.6446799838067104
2,0.6,adirt,0.15389257973021725,0.6446799838067104
2,0.8,uniform,0.1555536815760908,0.5799584017853524
2,0.8,fisher,0.15741581605255223,0.5799584017853524
2,0.8,adirt,0.1571465683136935,0.5799584017853524
2,0.9,uniform,0.14637477959340595,0.5777453828971555
2,0.9,fisher,0.14515596608244552,0.5777453828971555
2,0.9,adirt,0.14473257870939543,0.5777453828971555
3,0.0,uniform,0.15022142470443622,0.8398892611000953
3,0.0,fisher,0.14738331370509256,0.8398892611000953
3,0.0,adirt,0.14750007682012872,0.8398892611000953
3,0.2,uniform,0.14844906717418765,0.7772413320016353
3,0.2,fisher,0.14682550469299036,0.7772413320016353
3,0.2,adirt,0.14695688169464033,0.7772413320016353
3,0.4,uniform,0.14899958904187224,0.7554472952181132
3,0.4,fisher,0.15086785345308967,0.7554472952181132
3,0.4,adirt,0.15051329058178575,0.7554472952181132
3,0.6,uniform,0.1470473184731488,0.6783222832058329
3,0.6,fisher,0.14880437417360687,0.6783222832058329
3,0.6,adirt,0.14815636918766723,0.6783222832058329
3,0.8,uniform,0.1506353449199296,0.5682930152014585
3,0.8,fisher,0.15317766619193746,0.5682930152014585
3,0.8,adirt,0.15170298620672737,0.5682930152014585
3,0.9,uniform,0.15166299211415435,0.6174501307251244
3,0.9,fisher,0.15133574602254013,0.6174501307251244
3,0.9,adirt,0.15071898597004826,0.6174501307251244
4,0.0,uniform,0.19340533743461033,0.8139096740871271
4,0.0,fisher,0.1880243721457603,0.8139096740871271
4,0.0,adirt,0.1931341146639437,0.8139096740871271
4,0.2,uniform,0.18524219817620266,0.7926798208463717
4,0.2,fisher,0.1874893366679899,0.7926798208463717
4,0.2,adirt,0.18809137313503713,0.7926798208463717
4,0.4,uniform,0.20070730383290797,0.7530536725496234
4,0.4,fisher,0.19897103863819265,0.7530536725496234
4,0.4,adirt,0.19955626802438947,0.7530536725496234
4,0.6,uniform,0.2032005664074518,0.6753299205389598
4,0.6,fisher,0.20076755444230013,0.6753299205389598
4,0.6,adirt,0.2028335774722776,0.6753299205389598
4,0.8,uniform,0.20004121089482546,0.5307415937510046
4,0.8,fisher,0.19884472919485738,0.5307415937510046
4,0.8,adirt,0.1985667781675427,0.5307415937510046
4,0.9,uniform,0.20337461081819916,0.5190754823065145
4,0.9,fisher,0.20651483802518555,0.5190754823065145
4,0.9,adirt,0.20454787360172752,0.5190754823065145
